System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
TOI-905 Ab B;http://exoplanet.eu/catalog/toi-905_b/;0;2019;K0 / ?;150.20;;342.0;;1;S;0.97;;;;;;;;;;
TOI-905 b;http://exoplanet.eu/catalog/toi-905_b/;1;2019;;;;;;;;;;;0.667;0.0467;3.7395;0.024;39.0;1.171;85.68;transit
Kepler-108 Ab B;http://exoplanet.eu/catalog/kepler-108_b/;0;2014;? / ?;;0.425;327.0;;2;S;1.30;0.96;;;;;;;;;
Kepler-108 b;http://exoplanet.eu/catalog/kepler-108_b/;1;2014;;;;;;;;;;;;0.292;49.18;0.220;;0.8529;;transit
Kepler-108 c;http://exoplanet.eu/catalog/kepler-108_c/;1;2014;;;;;;;;;;;;0.721;190.32;0.040;;0.7340;;transit
Kepler-1339 Ab B / KOI-2754;http://exoplanet.eu/catalog/kepler-1339_b/;0;2016-2020;? / ?;371.30;;292.0;;1;S;0.94;;;;;;;;;;
Kepler-1339 b;http://exoplanet.eu/catalog/kepler-1339_b/;1;2016;;;;;;;;;;;;;1.3416;;;0.0630;;transit
HD 102365 Ab B / ;http://exoplanet.eu/catalog/hd_102365_a_b/;0;2011;G2V / M4V;9.24;;222.0;;1;S;0.85;;;;;;;;;;
HD 102365 b;http://exoplanet.eu/catalog/hd_102365_a_b/;1;2011;;;;;;;;;;;0.05;0.460;122.1;0.340;105.0;;;radial velocity
HD 46375 Ab B;http://exoplanet.eu/catalog/hd_46375_b/;0;2000;K1IV / K9.5-M1.5;33.40;0.389;;;1;S;0.91;0.58;;;;;;;;;
HD 46375 b;http://exoplanet.eu/catalog/hd_46375_b/;1;2000;;;;;;;;;;;0.249;0.041;3.024;0.0524;113.7;1.02;;radial velocity
WASP-77 Ab B;http://exoplanet.eu/catalog/wasp-77a_b/;0;2012;G8 V / K5 V;93.00;0.415;306.0;;1;S;1.00;0.71;;;;;;;;;
WASP-77 b;http://exoplanet.eu/catalog/wasp-77_a_b/;1;2012;;;;;;;;;;;1.76;0.024;1.36;;;1.21;89.4;transit
HD 109271 Abc B;http://exoplanet.eu/catalog/hd_109271_b/;0;2013;G5V / ?;56.00;0.364;304.0;;2;S;1.05;0.60;;;;;;;;;
HD 109271 b;http://exoplanet.eu/catalog/hd_109271_b/;1;2013;;;;;;;;;;;0.054;0.079;7.8543;0.250;296.0;;;radial velocity
HD 109271 c;http://exoplanet.eu/catalog/hd_109271_c/;1;2013;;;;;;;;;;;0.076;0.196;30.93;0.150;4.0;;;radial velocity
KELT-2 Ab B;http://exoplanet.eu/catalog/kelt-2_a_b/;0;2012;F7 V / K;128.90;0.372;295.0;;1;S;1.32;0.78;;;;;;;;;
KELT-2 b;http://exoplanet.eu/catalog/kelt-2a_b/#;1;2012;;;;;;;;;;;1.486;0.055;4.1138;0.185;160.0;1.306;;transit
HD 233832 Ab B;http://exoplanet.eu/catalog/hd_233832_b/;0;2018;K0V / ?;59.00;0.372;283.0;;1;S;0.71;0.42;;;;;;;;;
HD 233832 b;http://exoplanet.eu/catalog/hd_233832_b/;1;2018;;;;;;;;;;;2.720;4.438;4047.0;0.381;321.365;;;radial velocity
HD 114729 Ab B;http://exoplanet.eu/catalog/hd_114729_b/;0;2002;G3V / M;35.00;0.214;282.0;;1;S;0.93;0.253;secondary yellow dwarf;;;;;;;;
HD 114729 b;http://exoplanet.eu/catalog/hd_114729_b/;1;2002;;;;;;;;;;;0.84;2.08;1135;0.32;73.0;;;radial velocity
Kepler-1651 Ab B / KOI 1725;http://exoplanet.eu/catalog/kepler-1651_b/;0;2017;? / ?;69.40;;281.0;;1;S;0.52;;;;;;;;;;
Kepler-1651 b;http://exoplanet.eu/catalog/kepler-1651_b/;1;2017;;;;;;;;;;;;0.0619;9.8786;0.13;;0.164;85.94;transit
Kepler-14 Ab B;http://exoplanet.eu/catalog/kepler-14_b/;0;2011;F / ?;980.00;0.479;280.0;;1;S;1.51;1.39;;;;;;;;;
Kepler-14 b;http://exoplanet.eu/catalog/kepler-14_b/;1;2011;;;;;;;;;;;8.4;;6.7901;0.035;;1.136;90.0;transit
WASP-72 Ab B / CD-30 1019;http://exoplanet.eu/catalog/wasp-72_b/;0;2013;F7 / ?;434.80;0.323;278.0;;1;S;1.39;0.66;;;;;;;;;
WASP-72 b;http://exoplanet.eu/catalog/wasp-72_b/;1;2013;;;;;;;;;;;1.461;0.0371;2.2167;;;1.270;;transit
HD 86081 Ab B;http://exoplanet.eu/catalog/hd_86081_a_b/;0;2006-2017;F8V / ?;95.00;0.065;276.0;;1;S;1.21;0.08;;;;;;;;;
HD 86081 b;http://exoplanet.eu/catalog/hd_86081_a_b/;1;2006;;;;;;;;;;;1.5;0.039;1.9981;0.0575;332.6;1.08;;radial velocity
HIP 65 Ab B;http://exoplanet.eu/catalog/hip_65a_b/;0;2020;K4V / M;61.89;0.276;269.0;;1;S;0.78;0.30;;;;;;;;;
HIP 65 b;http://exoplanet.eu/catalog/hip_65a_b/;1;2020;;;;;;;;;;;3.213;0.01782;0.9810;0.000;;2.030;77.2;transit
HR 858 Abcd B / HD 17926;http://exoplanet.eu/catalog/hr_858_b/;0;2019;F / M;32.00;;269.0;;3;S;1.15;;;;;;;;;;
HR 858 b;http://exoplanet.eu/catalog/hr_858_b/;1;2019;;;;;;;;;;;;0.048;3.5860;0.3;;0.1860;85.5;transit
HR 858 c;http://exoplanet.eu/catalog/hr_858_c/;1;2019;;;;;;;;;;;;;;;;;;
HR 858 d;http://exoplanet.eu/catalog/hr_858_d/;1;2019;;;;;;;;;;;;;;;;;;
HD 1666 Ab B;http://exoplanet.eu/catalog/hd_1666_b/;0;2015;F7V / ;118.30;0.194;249.0;;1;S;1.50;0.36;;;;;;;;;
HD 1666 b;http://exoplanet.eu/catalog/hd_1666_b/;1;2015;;;;;;;;;;;6.430;0.94;270.0;0.630;295.0;;;radial velocity
HD 28254 Ab B;http://exoplanet.eu/catalog/hd_28254_a_b/;0;2009-2014;G1IV-V / ;56.20;;242.0;;1;S;1.06;;;;;;;;;;
HD 28254 b;http://exoplanet.eu/catalog/hd_28254_a_b/;1;2009;;;;;;;;;;;1.160;2.15;1116.0;0.81;301.0;;;radial velocity
HD 27442 Ab B (e Reticuli);http://exoplanet.eu/catalog/hd_27442_b/;0;2000;K2IVa / ?;18.10;0.385;240.0;;1;S;1.2;0.75;white dwarf;;;;;;;;
HD 27442 b;http://exoplanet.eu/catalog/hd_27442_b/;1;2000;;;;;;;;;;;1.35;1.16;415.2;0.058;347;;;radial velocity
HD 39855 Ab B;http://exoplanet.eu/catalog/hd_39855_b/;0;2019;G8V / ?;23.28;0.393;233.0;;1;S;0.82;0.53;;;;;;;;;
HD 39855 b;http://exoplanet.eu/catalog/hd_39855_b/;1;2019;;;;;;;;;;;0.0267;0.041;3.2498;0.14;102.97;;;radial velocity
TrES-2 Ab B;http://exoplanet.eu/catalog/tres-2_b/;0;2006;G0 / K;220.00;0.342;232.0;;1;S;0.98;0.509;;;;;;;;;
TrES-2 b;http://exoplanet.eu/catalog/tres-2_b/;1;2006;;;;;;;;;;;1.253;0.0356;2.4706;0.0;;1.189;83.908;transit
HD 212301 Ab B;http://exoplanet.eu/catalog/hd_212301_b/;0;2005;F8V / M3V;52.70;0.216;230.0;;1;S;1.27;0.35;;;;;;;;;
HD 212301 b;http://exoplanet.eu/catalog/hd_212301_b/;1;2005;;;;;;;;;;;0.4;0.036;2.2457;0.0147;172.8;1.07;;radial velocity
HD 238090 Ab B / GJ 458;http://exoplanet.eu/catalog/hd_238090_b/;0;2020;M0V / M3V;15.24;0.285;224.0;;1;S;0.578;0.23;;;;;;;;;
HD 238090 b;http://exoplanet.eu/catalog/hd_238090_b/;1;2020;;;;;;;;;;;0.0217;0.0932;13.671;0.3;119.3;;;radial velocity
HD 16141 Ab B;http://exoplanet.eu/catalog/hd_16141_b/;0;2000;G5IV / M2-3V;35.90;0.221;220.0;;1;S;1.01;0.286;;;;;;;;;
HD 16141 b;http://exoplanet.eu/catalog/hd_16141_b/;1;2000;;;;;;;;;;;0.215;0.35;75.82;0.28;41.0;;;radial velocity
DS Tuc Ab B / HD222259;http://exoplanet.eu/catalog/ds_tuc_a_b/;0;2019;G6V / K3V;44.12;0.454;220.0;;1;S;1.01;0.84;;;;;;;;;
DS Tuc b;http://exoplanet.eu/catalog/ds_tuc_a_b/;1;2019;;;;;;;;;;;0.088;0.0795;8.1383;;;0.5085;89.5;transit
HD 189733 Ab B;http://exoplanet.eu/catalog/hd_189733_b/;0;2005;K0 / M4V;19.30;0.200;216.0;;1;S;0.8;0.2;geometric albedo 0.4;;;;;;;;
HD 189733 b;http://exoplanet.eu/catalog/hd_189733_b/;1;2005;;;;;;;;;;;1.142;0.0314;2.2186;0.0041;90.0;1.1380;85.510;transit
Kepler-410 Ab B;http://exoplanet.eu/catalog/kepler-410a_b/;0;2013;? / ?;132.00;;211.0;;1;S;1.21;;;;;;;;;;
Kepler-410 b;http://exoplanet.eu/catalog/kepler-410a_b/;1;2013;;;;;;;;;;;;0.1236;17.8336;0.17;270;0.253;87.72;transit
WASP-85 Ab B;http://exoplanet.eu/catalog/wasp-85_a_b/;0;2014;G5 / K0;128.00;0.447;205.0;;1;S;1.09;0.88;;;;;;;;;
WASP-85 b;http://exoplanet.eu/catalog/wasp-85_a_b/;1;2014;;;;;;;;;;;1.265;0.039;2.6557;0.0;;1.24;89.69;transit
WASP-122 Ab B / Kelt 14;http://exoplanet.eu/catalog/wasp-122_b/;0;2015;G4 / ?;250.10;0.157;209.3;;1;S;1.24;0.23;;;;;;;;;
